"","sector","code","description","region","nondis","estab","employ","wage","bea.comp.st","bea.earn.st","bea.empl.st","gdp.comp.st","us.comp.gdp.ratio","us.comp.out.ratio","st.output","st.gdp.est","gdp","taxsub.est","taxsub.st","surplus.est","surplus.st","check","output","jobs.1000output.ratio","earn.output.ratio","comp.output.ratio","valueadded.output.ratio","taxsub.output.ratio","surplus.output.ratio","Code","Description","st.total.dem","rpc"
"47",46,"327400","Lime and gypsum product manufacturing",34000,0,9,114,8073391,10130922.7870343,10310888.2182001,121.836791984101,10918434.0666895,0.469259259259259,0.169000933706816,64605761.7979252,23267381.199733,19459728.1497101,533340.697436499,1271773.89559344,9794729.83535409,5352601.15227608,0,64605761.7979252,0.00188585024916483,0.159597037961578,0.156811443826357,0.301207316625667,0.0196851466525743,0.0828502134069407,"327400","Lime and gypsum product manufacturing",299262559.593887,0.801430478560564
"48",47,"327910","Abrasive product manufacturing",34000,0,11,146,7890413,9901312.20707779,10077198.842275,156.036593242796,10670975.0710017,0.2724,0.153240324032403,69635555.3825723,39173917.2944264,32763196.44935,288316.12875428,687502.243857749,23563290.8863725,12876812.3337681,0,69635555.3825723,0.00224076037572391,0.14471341237837,0.142187595872263,0.470495227177432,0.00987286221931692,0.184917205916201,"327910","Abrasive product manufacturing",71819687.8936692,0.815824680747205
"49",48,"327991","Cut stone and stone product manufacturing",34000,0,48,544,29230929,36680532.9622067,37332124.9315368,581.396621397814,39531836.2500444,0.761247443762781,0.348875351452671,113312207.599187,51930336.9409583,43432057.562434,1043612.83508916,2488539.81545385,9348106.45899014,5108531.4495743,0,113312207.599187,0.00513092661167061,0.329462515315116,0.323712102511979,0.383295484949546,0.0219617980108235,0.0450836812538718,"327991","Cut stone and stone product manufacturing",137285262.571858,0.912654540558093
"50",49,"327992","Ground or treated mineral and earth manufacturing",34000,1,3,136,11395188,14299291.3103974,14553303.5243029,145.349155349453,15410824.1327011,0.310918293564714,0.136378052648271,113000763.931178,49565511.1058734,41454229.9987247,689405.126515306,1643916.25766539,27845972.2840313,15217202.0912474,0,113000763.931178,0.00128626701530954,0.128789426000399,0.12654154549881,0.366849112842919,0.0145478331338238,0.134664594838627,"327992","Ground or treated mineral and earth manufacturing",73819262.1491329,0.950168539977206
"51",50,"327993","Mineral wool manufacturing",34000,1,7,50,1639499,2057331.02464875,2093877.39586141,53.4371894667108,2217254.40201068,0.499656593406593,0.243841126194067,9093028.8775242,4437556.57639525,3711360.71929749,85391.8846816388,203620.6319068,1772837.48645014,968816.101340504,0,9093028.8775242,0.00587672052805142,0.230272819328329,0.226253655669563,0.408154507072016,0.022393047976577,0.106544927371251,"327993","Mineral wool manufacturing",145791264.972845,0.393298500953751
"52",51,"327999","Miscellaneous nonmetallic mineral products",34000,0,9,320,19785510,24827916.0655164,25268958.4773091,341.998012586949,26757874.9017391,0.630549285176825,0.257925515543244,103742643.861277,42435818.3107532,35491294.9183652,667631.582362024,1591996.30255641,12444652.6952281,6800724.82609171,0,103742643.861277,0.00329660012370866,0.243573496267344,0.23932218364047,0.342109026697098,0.0153456307194677,0.0655538028815375,"327999","Miscellaneous nonmetallic mineral products",95536812.4547067,0.844837719035257
"53",52,"331110","Iron and steel mills and ferroalloy manufacturing",34000,0,24,462,42289095,54565439.7602633,55159976.0380219,493.759630672408,59108276.0506165,0.393381583901602,0.0922649711028034,640636151.988352,150256845.946813,111909653.37068,6109781.10064586,16920604.0925331,61771993.7485988,32199214.5554521,0,640636151.988352,0.000770733323650123,0.0861018783701498,0.0851738378967652,0.174685198491132,0.0264121905078513,0.0502613136263304,"331110","Iron and steel mills and ferroalloy manufacturing",1403807479.97525,0.820250281206583
"54",53,"331200","Steel product manufacturing from purchased steel",34000,0,19,586,38730528,49973835.8663668,50518342.7647231,626.283860549851,54134398.9652682,0.704929334712168,0.183161665920287,295555288.238249,76794078.9233463,57195388.9959489,1261807.96130325,3494487.3805318,15624731.3958254,8144533.59936925,0,295555288.238249,0.00211900745976502,0.170926878236061,0.169084559996377,0.193518408474029,0.0118234642369683,0.0275567175533123,"331200","Steel product manufacturing from purchased steel",103975219.790472,0.907279551711931
"55",54,"33131A","Alumina refining and primary aluminum production",34000,1,2,173,11509100,14850142.8735906,15011947.6479503,184.892675554819,16086488.9611412,0.47890625,0.156457376212353,102817069.738582,33590058.5159228,25017507.7317169,449533.342054288,1244950.60984915,12586933.5775201,6561053.80874137,0,102817069.738582,0.00179826828390381,0.146006375070978,0.144432659979008,0.243320567249438,0.0121084039159499,0.0638128846253173,"33131A","Alumina refining and primary aluminum production",111000647.172281,0.785175456634322
"56",55,"331314","Secondary smelting and alloying of aluminum",34000,1,3,57,3117011,4021866.06151251,4065687.66889551,60.9183959920503,4356705.82784541,0.322706065318818,0.053479381443299,81465149.937543,13500539.0231547,10055053.6175462,93826.3168044746,259845.309341979,6708581.65151993,3496909.3087587,0,81465149.937543,0.000747784740330739,0.0499070789412719,0.049369160488822,0.123427669687653,0.0031896499244302,0.0429252178562204,NA,NA,NA,NA
